"2021-10-15 11:23:42 [main] INFO  com.primus.ApplicationStart - Starting ApplicationStart on LAPTOP-VM1HNQDK with PID 18720 (C:\apps\microwfm\admin\build\classes\java\main started by unnik in C:\apps\microwfm\admin)
""2021-10-15 11:23:42 [main] DEBUG com.primus.ApplicationStart - Running with Spring Boot v1.5.7.RELEASE, Spring v4.3.11.RELEASE
""2021-10-15 11:23:42 [main] INFO  com.primus.ApplicationStart - No active profile set, falling back to default profiles: default
""2021-10-15 11:23:42 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3b6ddd1d: startup date [Fri Oct 15 11:23:42 IST 2021]; root of context hierarchy
""2021-10-15 11:23:43 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'dataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Dbcp; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Dbcp.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Tomcat; factoryMethodName=dataSource; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Tomcat.class]]
""2021-10-15 11:23:43 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
""2021-10-15 11:23:44 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @3086ms to org.eclipse.jetty.util.log.Slf4jLog
""2021-10-15 11:23:44 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 20220
""2021-10-15 11:23:44 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.4.6.v20170531
""2021-10-15 11:23:44 [main] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
""2021-10-15 11:23:44 [main] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
""2021-10-15 11:23:44 [main] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
""2021-10-15 11:23:44 [main] INFO  o.e.j.s.h.ContextHandler.application - Initializing Spring embedded WebApplicationContext
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'metricsFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
""2021-10-15 11:23:44 [main] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2021-10-15 11:23:44 [main] INFO  o.e.j.server.handler.ContextHandler - Started o.s.b.c.e.j.JettyEmbeddedWebAppContext@7a8341c1{/,[file:///C:/Users/unnik/AppData/Local/Temp/jetty-docbase.4632443483440887237.20220/],AVAILABLE}
""2021-10-15 11:23:44 [main] INFO  org.eclipse.jetty.server.Server - Started @3563ms
""2021-10-15 11:23:45 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2021-10-15 11:23:45 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2021-10-15 11:23:45 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
""2021-10-15 11:23:45 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2021-10-15 11:23:45 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
""2021-10-15 11:23:46 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2021-10-15 11:23:46 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2021-10-15 11:23:46 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: entities
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: entity_fields
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: entity_validations
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: finite_groups
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: finite_values
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: entities
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: entity_fields
""2021-10-15 11:23:46 [main] INFO  o.h.t.s.e.i.InformationExtractorJdbcDatabaseMetaDataImpl - HHH000262: Table not found: entity_validations
